Number of rows;time
0;2022-10-07T15:14:54.102302
100000;2022-10-07T15:15:03.346918
200000;2022-10-07T15:15:12.092579
300000;2022-10-07T15:15:21.235270
400000;2022-10-07T15:15:30.964256
500000;2022-10-07T15:15:40.704447
600000;2022-10-07T15:15:51.358549
700000;2022-10-07T15:16:03.387795
800000;2022-10-07T15:16:14.930881
900000;2022-10-07T15:16:26.128887
1000000;2022-10-07T15:16:36.481147
1100000;2022-10-07T15:16:46.506620
1200000;2022-10-07T15:16:57.070445
1300000;2022-10-07T15:17:07.729854
1400000;2022-10-07T15:17:19.285687
1500000;2022-10-07T15:17:31.559378
1600000;2022-10-07T15:17:43.547436
1700000;2022-10-07T15:17:55.747234
1800000;2022-10-07T15:18:06.559561
1900000;2022-10-07T15:18:16.872227
2000000;2022-10-07T15:18:27.200938
2100000;2022-10-07T15:18:37.399073
2200000;2022-10-07T15:18:49.381672
2300000;2022-10-07T15:19:01.583651
2400000;2022-10-07T15:19:14.000847
2500000;2022-10-07T15:19:24.991560
2600000;2022-10-07T15:19:35.133204
2700000;2022-10-07T15:19:45.268065
2800000;2022-10-07T15:19:57.587700
2900000;2022-10-07T15:20:09.353000
3000000;2022-10-07T15:20:21.010251
3100000;2022-10-07T15:20:31.212833
3200000;2022-10-07T15:20:41.191403
3300000;2022-10-07T15:20:52.640153
3400000;2022-10-07T15:21:04.596061
3500000;2022-10-07T15:21:16.762073
3600000;2022-10-07T15:21:27.769537
3700000;2022-10-07T15:21:37.776015
3800000;2022-10-07T15:21:48.236882
3900000;2022-10-07T15:22:00.077109
4000000;2022-10-07T15:22:12.021490
4100000;2022-10-07T15:22:23.205714
4200000;2022-10-07T15:22:33.244327
4300000;2022-10-07T15:22:44.617150
4400000;2022-10-07T15:22:56.437718
4500000;2022-10-07T15:23:07.076893
4600000;2022-10-07T15:23:18.194152
4700000;2022-10-07T15:23:28.671508
4800000;2022-10-07T15:23:39.935071
4900000;2022-10-07T15:23:51.152949
5000000;2022-10-07T15:24:01.661263
5100000;2022-10-07T15:24:13.666098
5200000;2022-10-07T15:24:26.076375
5300000;2022-10-07T15:24:38.115484
5400000;2022-10-07T15:24:49.581629
5500000;2022-10-07T15:25:01.623164
5600000;2022-10-07T15:25:14.777655
5700000;2022-10-07T15:25:26.648396
5800000;2022-10-07T15:25:37.868521
5900000;2022-10-07T15:25:49.038391
6000000;2022-10-07T15:26:00.981873
6100000;2022-10-07T15:26:11.023866
6200000;2022-10-07T15:26:21.777690
6300000;2022-10-07T15:26:33.514091
6400000;2022-10-07T15:26:44.740493
6500000;2022-10-07T15:26:55.052771
6600000;2022-10-07T15:27:06.020397
6700000;2022-10-07T15:27:17.294198
6800000;2022-10-07T15:27:28.709168
6900000;2022-10-07T15:27:40.066518
7000000;2022-10-07T15:27:51.438913
7100000;2022-10-07T15:28:02.179259
7200000;2022-10-07T15:28:13.064375
7300000;2022-10-07T15:28:25.003301
7400000;2022-10-07T15:28:36.923891
7500000;2022-10-07T15:28:48.443576
7600000;2022-10-07T15:28:58.781318
7700000;2022-10-07T15:29:09.389944
7800000;2022-10-07T15:29:21.611657
7900000;2022-10-07T15:29:32.959307
8000000;2022-10-07T15:29:44.775546
8100000;2022-10-07T15:29:55.485430
8200000;2022-10-07T15:30:05.839037
8300000;2022-10-07T15:30:17.551943
8400000;2022-10-07T15:30:29.848419
8500000;2022-10-07T15:30:41.954945
8600000;2022-10-07T15:30:53.896615
8700000;2022-10-07T15:31:04.920365
8800000;2022-10-07T15:31:15.454855
8900000;2022-10-07T15:31:27.087229
9000000;2022-10-07T15:31:38.943874
9100000;2022-10-07T15:31:50.829948
9200000;2022-10-07T15:32:02.323663
9300000;2022-10-07T15:32:12.316370
9400000;2022-10-07T15:32:22.344525
9500000;2022-10-07T15:32:32.832446
